team_points_total,0.6719056974459725,17
team_points_q1,0.6715127701375245,17
team_points_q2,0.6707269155206287,17
team_points_q3,0.668762278978389,17
team_points_q4,0.6674537583628493,20
team_FG,0.6685017695635077,19
team_FG_made,0.6707269155206287,17
team_3P,0.6694214876033058,20
team_3P_made,0.6722919937205651,15
team_O_Reb,0.6703339882121807,17
team_D_Reb,0.6699372056514914,15
team_Total_Reb,0.668762278978389,17
team_Ast,0.6699295223179327,11
team_Stl,0.6711198428290767,17
team_Blk,0.6691522762951334,15
team_TO,0.6730769230769231,15
team_PF,0.6682408500590319,20
